"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 18 18:21:51 IST 2024","Thu Jan 18 18:22:12 IST 2024","21154","webkit","example.spec.js","","","","has title",""
"broken","Thu Jan 18 18:21:42 IST 2024","Thu Jan 18 18:22:13 IST 2024","31128","chromium","whatsapp.spec.js","","","","whatsapplogin",""
"passed","Thu Jan 18 18:21:57 IST 2024","Thu Jan 18 18:22:21 IST 2024","24059","webkit","whatsapp.spec.js","","","","whatsapplogin",""
"passed","Thu Jan 18 18:21:51 IST 2024","Thu Jan 18 18:22:15 IST 2024","24299","webkit","example.spec.js","","","","get started link",""
"broken","Thu Jan 18 18:21:42 IST 2024","Thu Jan 18 18:22:13 IST 2024","30889","chromium","SQUAPL.spec.js","","","","Verify",""
"passed","Thu Jan 18 18:21:42 IST 2024","Thu Jan 18 18:21:50 IST 2024","7499","firefox","example.spec.js","","","","has title",""
"passed","Thu Jan 18 18:21:42 IST 2024","Thu Jan 18 18:21:50 IST 2024","7645","firefox","example.spec.js","","","","get started link",""
"broken","Thu Jan 18 18:21:42 IST 2024","Thu Jan 18 18:22:14 IST 2024","31709","firefox","SQUAPL.spec.js","","","","Verify",""
"broken","Thu Jan 18 18:21:56 IST 2024","Thu Jan 18 18:22:26 IST 2024","30378","webkit","SQUAPL.spec.js","","","","Verify",""
"broken","Thu Jan 18 18:21:42 IST 2024","Thu Jan 18 18:22:14 IST 2024","31676","firefox","whatsapp.spec.js","","","","whatsapplogin",""
"passed","Thu Jan 18 18:21:42 IST 2024","Thu Jan 18 18:21:55 IST 2024","12876","chromium","example.spec.js","","","","has title",""
"passed","Thu Jan 18 18:21:42 IST 2024","Thu Jan 18 18:21:56 IST 2024","13899","chromium","example.spec.js","","","","get started link",""
